Date,INFY,MARUTI,RELIANCE,SUNPHARMA,TCS,BPCL
04-06-2013,311.987488,1546.800049,386.436951,509.125,732.674988,123.783333
05-06-2013,307.65625,1568.25,397.234619,518.5,733.900024,124.550003
06-06-2013,303.706238,1587.099976,392.281555,509.049988,735.375,124.333336
07-06-2013,305.850006,1554.900024,388.121002,506.225006,759.474976,125.400002
10-06-2013,310.84375,1521.849976,390.968994,499.325012,762.525024,122.099998
11-06-2013,309.4375,1490.449951,389.111603,491.200012,750.775024,119.683334
12-06-2013,302.668762,1479.650024,391.687195,490.350006,734.049988,120.900002
13-06-2013,297.487488,1456.599976,391.191895,474.700012,722.825012,119.099998
14-06-2013,299.368744,1514.150024,403.500214,476.774994,725.349976,122.966667
17-06-2013,302.825012,1535.25,408.899048,486.350006,726.224976,122.300003
18-06-2013,305.818756,1538.550049,407.834137,485.950012,721.900024,121.616669
19-06-2013,304.793762,1543.75,411.94516,480.625,713.849976,121.583336
20-06-2013,296.137512,1525.150024,395.253387,484.674988,702.25,117.116669
21-06-2013,302.34375,1554.650024,392.702576,474.25,711.125,116.116669
24-06-2013,297.549988,1544.449951,392.603516,473.575012,705.349976,112.98333
25-06-2013,296.737488,1545.199951,398.12616,474.375,696.150024,114.98333
26-06-2013,299.924988,1544.75,398.0271,469.600006,718.849976,116.183334
27-06-2013,310.350006,1521.199951,411.103149,485.799988,745.950012,115.216667
28-06-2013,312.356262,1537.75,427.250092,505.774994,759.075012,122.316666
01-07-2013,306.375,1605.449951,438.69165,502.5,746.174988,124.783333
02-07-2013,300.493744,1578.650024,431.831665,503.924988,750.275024,123.849998
03-07-2013,300.5625,1560.949951,421.430267,509.875,744.900024,119.133331
04-07-2013,308.5,1557.349976,426.779541,515.349976,769.150024,122.199997
05-07-2013,307.024994,1554.550049,436.041748,517.875,765.099976,121.800003
08-07-2013,308.518738,1551.050049,429.404663,521.325012,753.325012,115.23333
09-07-2013,312.274994,1543.849976,433.292816,539.849976,752.450012,115.199997
10-07-2013,312.643738,1543.5,423.981079,540.724976,755.974976,111.683334
11-07-2013,316.043762,1505.550049,430.940125,547.674988,782.275024,113.116669
12-07-2013,350.524994,1447.949951,440.796692,554.349976,804.924988,114.650002
15-07-2013,342.837494,1446.599976,444.214294,555.474976,820.875,113.5
16-07-2013,341.100006,1411.25,446.071686,559.799988,824.674988,115.666664
17-07-2013,343.856262,1421.150024,453.179321,556.400024,839.25,114.066666
18-07-2013,350.09375,1445.550049,454.318512,559.200012,830.200012,114.516663
19-07-2013,355.931244,1451.5,457.513245,540.075012,871.400024,115.550003
22-07-2013,359.59375,1448.449951,450.257019,555,873.25,115.416664
